,ID,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,A5,A6,A7,A8,R2,Feedback,Major,Year,Sex,VSD,NUPath,Philosophy,Attendance,Time,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
17,A113,Post-Module_Fl21_CY2550-1_Miazi_TR,10/17/21 15:34,10/17/21 15:36,100,113,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,4,1,4,3,4,4,4,4,2,,Computer Science,5+,Male,No,PHIL 1145: Technology and Human Values,No,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
18,A154,Post-Module_Fl21_CY2550-1_Miazi_TR,10/17/21 12:42,10/17/21 13:03,100,1272,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,2,5,4,5,3,3,5,1,NO,Computer Science,2,Female,No,PHIL 1145: Technology and Human Values,No,1,2 - 3 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
19,A376,Post-Module_Fl21_CY2550-3_Miazi_MR,10/15/21 19:27,10/15/21 19:44,100,993,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,2,5,4,5,4,5,4,4,,Computer Science,2,Female,No,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cy2550,CY2550-3,True,True,True,True,True,True,True,True
20,A275,Post-Module_Fl21_CY2550-1_Miazi_TR,10/14/21 22:03,10/14/21 22:10,100,406,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,4,4,5,4,4,5,4,2,,Computer Science ,2,Male,No,"None, or I'm not sure",Yes,1,Less than 30 minutes,cy2550,CY2550-1,True,True,True,True,True,True,True,True
21,A151,Post-Module_Fl21_CY2550-3_Miazi_MR,10/14/21 18:59,10/14/21 19:02,100,209,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,5,5,4,3,5,3,"No, it was very informational.",Computer Science,2,Female,No,PHIL 1145: Technology and Human Values,No,1,30 minutes - 1 hour,cy2550,CY2550-3,True,True,True,True,True,True,True,True
22,A270,Post-Module_Fl21_CY2550-1_Miazi_TR,10/15/21 0:33,10/15/21 0:35,100,115,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,5,3,5,5,5,5,5,4,4,,Computer Science,5+,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,1,30 minutes - 1 hour,cy2550,CY2550-1,True,True,True,True,True,True,True,True
23,A7,Post-Module_Fl21_CY2550-1_Miazi_TR,10/18/21 10:37,10/18/21 10:40,100,225,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,4,1,3,4,2,2,1,,Computer Science,2,Male,Yes,"None, or I'm not sure",No,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
24,A3,Post-Module_Fl21_CY2550-1_Miazi_TR,10/17/21 17:23,10/17/21 17:25,100,118,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,5,2,5,1,5,5,5,4,3,,Computer Science & Psych,5+,Female,No,SOCL 4528: Computers and Society,Yes,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
25,A94,Post-Module_Fl21_CY2550-1_Miazi_TR,10/14/21 21:07,10/14/21 21:13,100,386,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,2,4,2,4,4,4,4,4,4,4,,Computer Science and Math,2,Male,No,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cy2550,CY2550-1,True,True,True,True,True,True,True,True
26,A66,Post-Module_Fl21_CY2550-1_Miazi_TR,10/14/21 19:42,10/14/21 19:44,100,101,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,4,2,4,1,3,3,3,3,1,,Computer Science,3,Male,No,PHIL 1145: Technology and Human Values,Yes,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
27,A103,Post-Module_Fl21_CY2550-1_Miazi_TR,10/14/21 20:08,10/14/21 20:11,100,176,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,4,1,5,5,4,5,4,4,3,,CS,2,Male,No,PHIL 1145: Technology and Human Values,No,1,Less than 30 minutes,cy2550,CY2550-1,True,True,True,True,True,True,True,True
28,A232,Post-Module_Fl21_CY2550-1_Miazi_TR,10/15/21 15:54,10/15/21 15:59,100,328,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,3,5,5,5,5,5,5,3,"None, I think that the content in this module is very thorough.",Computer Science,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
29,A280,Post-Module_Fl21_CY2550-3_Miazi_MR,10/15/21 10:19,10/15/21 10:21,100,104,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,2,5,2,5,4,5,4,3,,Computer Science,5+,Female,I'm not sure,"None, or I'm not sure",I'm not sure,1,Less than 30 minutes,cy2550,CY2550-3,True,True,True,True,True,True,True,True
30,A157,Post-Module_Fl21_CY2550-3_Miazi_MR,10/14/21 19:31,10/14/21 19:34,100,158,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,4,5,5,4,4,3,More interactive,Computer science,3,Female,No,PHIL 1145: Technology and Human Values,Yes,1,1 -2 hours,cy2550,CY2550-3,True,True,True,True,True,True,True,True
31,A277,Post-Module_Fl21_CY2550-1_Miazi_TR,10/15/21 3:08,10/15/21 3:10,100,115,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,5,5,5,5,4,3,,Computer Science,2,Male,No,"None, or I'm not sure",Yes,1,Less than 30 minutes,cy2550,CY2550-1,True,True,True,True,True,True,True,True
32,A83,Post-Module_Fl21_CY2550-3_Miazi_MR,10/14/21 20:43,10/14/21 20:52,100,493,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,1,4,4,3,4,2,2,1,,Computer Science,4,Male,No,PHIL 1145: Technology and Human Values,Yes,1,Less than 30 minutes,cy2550,CY2550-3,True,True,True,True,True,True,True,True
33,A128,Post-Module_Fl21_CY2550-1_Miazi_TR,10/15/21 11:49,10/15/21 11:51,100,149,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,2,5,4,4,5,3,3,1,No,Computer Science,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,1,1 -2 hours,cy2550,CY2550-1,True,True,True,True,True,True,True,True
34,A124,Post-Module_Fl21_CY2550-3_Miazi_MR,10/14/21 19:10,10/14/21 19:24,100,858,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,3,5,5,3,4,4,4,3,,Computer Science + Computer Engineering ,3,Male,No,"None, or I'm not sure",No,1,Less than 30 minutes,cy2550,CY2550-3,True,True,True,True,True,True,True,True
35,A112,Post-Module_Fl21_CY2550-1_Miazi_TR,10/15/21 10:01,10/15/21 10:06,100,313,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,1,4,5,3,3,3,3,2,,CS and Math,3,Male,No,PHIL 1145: Technology and Human Values,No,1,30 minutes - 1 hour,cy2550,CY2550-1,True,True,True,True,True,True,True,True
36,A187,Post-Module_Fl21_DS4400_Elhamifar,12/6/21 15:54,12/6/21 15:56,100,155,True,DS 4400 Machine Learning & Data Mining (Ehsan Elhamifar),Yes,,3,5,2,5,1,4,5,5,4,4,,"Business/Economics, Minor Data Science",3,Male,No,"None, or I'm not sure",No,1,Less than 30 minutes,ds4400,DS4400-1,True,True,True,True,True,True,True,True
